"Comparison_ID","Comparison","Treat1","Treat2","Direct_Studies","HR","CI_95","Lower_CI","Upper_CI","p_value","Within_Study_Bias","Reporting_Bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence"
1,"IO + Chemo vs TKI + Chemo","IO_Chemo","TKI_Chemo",0,0.95,"0.95 [0.81, 1.11]",0.81,1.11,"0.503","Some concerns","No concerns","No concerns","Some concerns","No concerns","No concerns","Moderate"
2,"IO + Chemo vs Dual IO","IO_Chemo","Dual_IO",2,0.9,"0.90 [0.81, 1.00]",0.81,1,"0.049","Some concerns","No concerns","No concerns","Some concerns","No concerns","No concerns","Moderate"
3,"IO + Chemo vs IO Monotherapy","IO_Chemo","IO_Mono",1,0.89,"0.89 [0.80, 0.98]",0.8,0.98,"0.020","Some concerns","No concerns","No concerns","Some concerns","No concerns","No concerns","Moderate"
4,"IO + Chemo vs TKI Monotherapy","IO_Chemo","TKI",0,0.76,"0.76 [0.68, 0.86]",0.68,0.86,"< 0.001","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
5,"IO + Chemo vs Chemotherapy","IO_Chemo","Chemo",9,0.69,"0.69 [0.64, 0.74]",0.64,0.74,"< 0.001","No concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
6,"TKI + Chemo vs Dual IO","TKI_Chemo","Dual_IO",0,0.95,"0.95 [0.81, 1.12]",0.81,1.12,"0.554","Some concerns","No concerns","Some concerns","Some concerns","No concerns","No concerns","Low"
7,"TKI + Chemo vs IO Monotherapy","TKI_Chemo","IO_Mono",0,0.93,"0.93 [0.80, 1.10]",0.8,1.1,"0.404","Some concerns","No concerns","Some concerns","Some concerns","No concerns","No concerns","Low"
8,"TKI + Chemo vs TKI Monotherapy","TKI_Chemo","TKI",3,0.81,"0.81 [0.71, 0.92]",0.71,0.92,"0.001","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
9,"TKI + Chemo vs Chemotherapy","TKI_Chemo","Chemo",2,0.72,"0.72 [0.63, 0.83]",0.63,0.83,"< 0.001","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
10,"Dual IO vs IO Monotherapy","Dual_IO","IO_Mono",2,0.98,"0.98 [0.88, 1.09]",0.88,1.09,"0.733","Some concerns","No concerns","No concerns","Some concerns","No concerns","No concerns","Moderate"
11,"Dual IO vs TKI Monotherapy","Dual_IO","TKI",0,0.85,"0.85 [0.74, 0.97]",0.74,0.97,"0.016","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
12,"Dual IO vs Chemotherapy","Dual_IO","Chemo",3,0.76,"0.76 [0.69, 0.84]",0.69,0.84,"< 0.001","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","Moderate"
13,"IO Monotherapy vs TKI Monotherapy","IO_Mono","TKI",0,0.86,"0.86 [0.76, 0.98]",0.76,0.98,"0.024","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
14,"IO Monotherapy vs Chemotherapy","IO_Mono","Chemo",5,0.78,"0.78 [0.71, 0.84]",0.71,0.84,"< 0.001","Some concerns","No concerns","No concerns","No concerns","No concerns","No concerns","High"
15,"TKI Monotherapy vs Chemotherapy","TKI","Chemo",5,0.9,"0.90 [0.82, 0.99]",0.82,0.99,"0.033","Some concerns","No concerns","No concerns","Some concerns","No concerns","No concerns","Moderate"
