"Iteration","Omitted_Study","Studies_Remaining","IO_Chemo_HR","IO_Chemo_LCI","IO_Chemo_UCI","TKI_Chemo_HR","Dual_IO_HR","IO_Mono_HR","TKI_HR","Tau2","I2_Pct","Q_Total","Pscore_IO_Chemo","Top_Treatment"
0,"None (Full Evidence Base)",24,0.687,0.638,0.74,0.725,0.762,0.776,0.899,0,0,21.44,0.9428,"IO_Chemo"
1,"Excluding KEYNOTE-024 (2016)",23,0.688,0.639,0.741,0.725,0.766,0.789,0.899,0,0,19.46,0.9426,"IO_Chemo"
2,"Excluding KEYNOTE-042 (2019)",23,0.685,0.635,0.737,0.725,0.755,0.756,0.899,0,0,20.81,0.9363,"IO_Chemo"
3,"Excluding EMPOWER-Lung1 (2021)",23,0.689,0.64,0.742,0.725,0.768,0.796,0.899,0,0,17.13,0.9424,"IO_Chemo"
4,"Excluding IMpower110 (2020)",23,0.687,0.638,0.74,0.725,0.762,0.777,0.899,0,0,21.42,0.9427,"IO_Chemo"
5,"Excluding KEYNOTE-189 (2018)",23,0.707,0.655,0.764,0.725,0.769,0.78,0.899,0,0,14.43,0.9051,"IO_Chemo"
6,"Excluding KEYNOTE-407 (2018)",23,0.691,0.64,0.746,0.725,0.763,0.777,0.899,0,0,21.16,0.9362,"IO_Chemo"
7,"Excluding IMpower130 (2019)",23,0.674,0.623,0.729,0.725,0.757,0.773,0.899,0,0,19.55,0.9591,"IO_Chemo"
8,"Excluding CameL (2021)",23,0.684,0.633,0.738,0.725,0.761,0.775,0.899,0,0,21.24,0.9468,"IO_Chemo"
9,"Excluding RATIONALE-307 (2021)",23,0.686,0.636,0.74,0.725,0.761,0.776,0.899,0,0,21.4,0.9441,"IO_Chemo"
10,"Excluding ORIENT-11 (2021)",23,0.69,0.639,0.745,0.725,0.763,0.777,0.899,0,0,21.26,0.9371,"IO_Chemo"
11,"Excluding IMpower150 (2018)",23,0.674,0.622,0.729,0.725,0.757,0.773,0.899,0,0,19.69,0.9592,"IO_Chemo"
12,"Excluding CheckMate-9LA (2020)",23,0.691,0.637,0.75,0.725,0.766,0.777,0.899,2e-04,1,21.22,0.9286,"IO_Chemo"
13,"Excluding CheckMate-227 (2019)",23,0.686,0.636,0.739,0.725,0.765,0.746,0.899,0,0,18.69,0.9315,"IO_Chemo"
14,"Excluding POSEIDON (2022)",23,0.683,0.63,0.74,0.725,0.762,0.775,0.899,2e-04,1.4,21.3,0.9431,"IO_Chemo"
15,"Excluding IPASS (2009)",23,0.687,0.638,0.74,0.724,0.762,0.776,0.898,0,0,21.44,0.9386,"IO_Chemo"
16,"Excluding EURTAC (2012)",23,0.687,0.638,0.74,0.724,0.762,0.776,0.897,0,0,21.4,0.9415,"IO_Chemo"
17,"Excluding OPTIMAL (2011)",23,0.687,0.638,0.74,0.721,0.762,0.776,0.891,0,0,20.94,0.9386,"IO_Chemo"
18,"Excluding WJTOG3405 (2010)",23,0.687,0.638,0.74,0.728,0.762,0.776,0.906,0,0,21.01,0.9461,"IO_Chemo"
19,"Excluding FLAURA2 (2023)",23,0.687,0.638,0.74,0.738,0.762,0.776,0.894,0,0,21.06,0.9531,"IO_Chemo"
20,"Excluding ARTEMIS (2022)",23,0.687,0.638,0.74,0.724,0.762,0.776,0.899,0,0,21.44,0.9396,"IO_Chemo"
21,"Excluding NEJ009 (2020)",23,0.687,0.638,0.74,0.733,0.762,0.776,0.913,0,0,20.86,0.9445,"IO_Chemo"
22,"Excluding KEYNOTE-598 (2021)",23,0.686,0.637,0.738,0.725,0.752,0.783,0.899,0,0,20.68,0.9408,"IO_Chemo"
23,"Excluding MARIPOSA-2 (2023)",23,0.687,0.638,0.74,0.705,0.762,0.776,0.892,0,0,21.09,0.9148,"IO_Chemo"
24,"Excluding INSPIRE (2021)",23,0.689,0.638,0.743,0.725,0.762,0.773,0.899,0,0,21.33,0.9365,"IO_Chemo"
